name, valency, conductance(E-4)
Cyclohexanecarboxylate,-1,28.7
"Cyclopropane-1, 3-dicarboxylate2",-1,53.4
Decylsulfonate,-1,26
Dichloroacetate,-1,38.3
Diethylbarbiturate,-2,26.3
Dihydrogencitrate,-1,30
Dimethylmalonate,-2,49.4
"3, 5-Dinitrobenzoate",-1,28.3
Dodecylsulfonate,-1,24
Ethylmalonate,-1,49.3
Ethylsulfonate,-1,39.6
Fluoroacetate,-1,44.4
Fluorobenzoate,-1,33
Formate,-1,54.6
Fumarate,-2,61.8
Glutarate,-2,52.6
Hydrogenoxalate,-1,40.2
Iodoacetate,-1,40.6
Lactate,-1,38.8
Malate,-2,58.8
Malonate,-1,63.5
3-Methylbutanoate,-1,32.7
Methylsulfonate,-1,48.8
Naphthylacetate,-1,28.4
"1, 8-Octanedioate",-2,36
Octylsulfonate,-1,29
Oxalate,-2,74.11
Phenylacetate,-1,30.6
m-Phthalate,-2,54.7
o-Phthalate,-2,52.3
Picrate,-1,30.37
Propanoate,-1,35.8
Propylsulfonate,-1,37.1
Salicylate,-1,36
Succinate,-2,58.8
Tartrate,-2,59.6
Trichloroacetate,-1,36.6
Trimethylacetate,-1,31.9
,,
# ,,
# UNSW Medicine IONIC MOBILITY TABLES,,
# https://medicalsciences.med.unsw.edu.au/research/research-services/ies/ionicmobilitytables,,
# To reverse K normalization all values there are multiplied by the K mobility (73.5),,
# ,,
# Table 1,,
Choline,1,0.51*K
Cs,1,1.05*K
K,1,1*K
Li,1,0.526*K
NH4 (Ammonium),1,1.001*K
Na,1,0.682*K
Rb,1,1.059*K
TEA (TetraethylAmmonium),1,0.444*K
TMA (TetramethylAmmonium),1,0.611*K
Acetate,-1,0.556*K
Benzoate,-1,0.441*K
Br,-1,1.063*K
Cl,-1,1.0382*K
ClO4 (Perchlorate),-1,0.916*K
F,-1,0.753*K
H2PO,-1,0.45*K
HCO3,-1,0.605*K
I,-1,1.0456*K
NO3 (Nitrate),-1,0.972*K
Picrate,-1,0.411*K
Propionate,-1,0.487*K
SCN (Thiocyanate),-1,0.901*K
Co,2,0.367*K
Mg,2,0.361*K
HPO4,-2,0.39*K
SO4 (Sulphate),-2,0.544*K
,,
## Table 2,,
NMDG,1,0.33*K
Tris,1,0.4*K
Aspartate,-1,0.3*K
Gluconate,-1,0.33*K
Glutamate,-1,0.26*K
HEPES,-1,0.3*K
Isethionate,-1,0.52*K
MES,-1,0.37*K
MOPS,-1,0.35*K
EGTA(2-),-2,0.24*K
EGTA(3-),-3,0.25*K
,,
## Table 3,,
Thallium,1,1.02*K
Butyrate,-1,0.44*K
Citrate,-3,0.318*K
2-(Methyl-Amino) Ethanol,1,0.49*K
N-Methylethanolamine,1,0.49*K
,,
## Table 4,,
Ag,1,0.842*K
Diethylammonium,1,0.57*K
Dimethylammonium,1,0.705*K
Ethyltrimethylammonium,1,0.551*K
H,1,4.757*K
Piperidinium,1,0.506*K
Tetrabutylammonium,1,0.265*K
Tetrapropylammonium,1,0.318*K
Triethylammonium,1,0.467*K
Trimethylammonium,1,0.643*K
Bromoacetate,-1,0.533*K
Bromobenzoate,-1,0.41*K
Chloroacetate,-1,0.541*K
CNO (Cyanate),-1,0.879*K
Cyanoacetate,-1,0.59*K
Dichloroacetate,-1,0.521*K
Ethylsulfate,-1,0.539*K
Ethylsulfonate,-1,0.539*K
Fluoroacetate,-1,0.604*K
Fluorobenzoate,-1,0.45*K
Formate,-1,0.743*K
Iodoacetate,-1,0.552*K
Lactate,-1,0.528*K
Methylsulfate,-1,0.664*K
methanesulfonate,-1,0.664*K
Methylsulfonate,-1,0.664*K
OH (hydroxide),-1,2.69*K
ReO4 (Rhenate),-1,0.747*K
Salicylate,-1,0.49*K
Trichloroacetate,-1,0.476*K
Cd,2,0.37*K
Cu,2,0.365*K
Fe,2,0.37*K
Hg,2,0.433*K
Mn,2,0.364*K
Ni,2,0.337*K
Pb,2,0.48*K
Malate,-2,0.4*K
Maleate,-2,0.421*K
Oxalate,-2,0.504*K
Succinate,-2,0.4*K
Gd,3,0.305*K
Fe,3,0.308*K
La,3,0.316*K
Citrate,-3,0.318*K
ATP (Adenosine 5'-Triphosphate),-2,0.15*K
ATP (Adenosine 5'-Triphosphate),-3,0.15*K
ATP (Adenosine 5'-Triphosphate),-4,0.15*K
,,
## Table 5,,
2-AP (2-aminopyridine),1,0.45*K
3-AP (3-aminopyridine),1,0.46*K
4-AP (4-aminopyridine),2,0.29*K
